Id,step,cfg,width,height,token_count,sampler,Duration
23541,44,16.0,512,512,54,8,3444
193,20,10.0,1024,512,73,8,2999
3294,45,12.0,512,512,53,8,3531
10429,20,7.0,512,512,15,8,1932
56915,20,7.0,512,512,10,8,1469
27553,50,7.0,768,512,28,4,5509
4585,20,7.0,512,768,11,8,2448
30548,20,7.0,512,1024,15,8,2906
55749,7,10.0,768,768,32,8,1334
12216,20,8.0,512,704,84,8,2472
8521,50,7.0,512,640,31,8,4204
33452,20,7.0,512,512,22,8,1846
23150,20,7.0,512,512,36,8,1478
57393,20,7.0,512,512,54,8,1466
14621,20,7.0,512,704,58,8,1957
45589,50,11.0,512,512,57,8,3442
18267,20,7.0,512,512,26,8,1814
21481,20,7.0,512,512,8,8,1472
11996,20,7.0,512,1024,44,8,2934
43940,20,7.0,512,768,66,8,2379
57804,35,7.0,512,768,75,8,3673
41728,49,7.0,512,512,8,8,3391
47741,23,20.0,768,640,73,8,3138
17237,20,7.0,512,512,15,8,1454
30791,20,15.0,512,512,70,8,2214
26546,44,16.0,512,512,73,8,3830
55058,20,7.0,512,512,51,8,1492
49664,50,10.0,512,512,76,8,3885
41215,20,7.0,768,768,59,8,3410
26244,20,7.0,512,512,12,8,1457
12176,50,0.5,512,512,6,8,4178
52140,20,7.0,1216,512,18,8,3788
12459,50,15.0,512,512,54,8,3449
21877,20,7.0,512,512,39,8,1871
34936,20,7.0,704,512,23,8,2289
